ID,closeness_centrality,betweenness_centrality,group,label
"Schultz, T.",18857,7079,0,34
"Klein, R.",24155,0,0,169
"Weiss, K.",35319,1,0,172
"Lindstrom, P.",28453,1373,0,172
"S. Houde",32120,0,0,154
"S. Bonde",28276,0,0,154
"Byska, J.",25098,0,0,34
"Le Muzic, M.",21843,20,0,34
"Gröller, M.E.",21843,1,0,34
"Viola, I.",21843,0,0,34
"Kozlikova, B.",21843,0,0,34
"Ament, M.",37617,1,0,181
"Dachsbacher, C.",30747,1375,0,181
"Xiaotong Liu",24942,554,0,183
"Han-Wei Shen",23867,3182,0,183
"S. Park",42074,0,0,185
"H. Seo",35216,1373,0,185
"S. Cha",35216,1,0,185
"J. Noh",35216,0,0,185
"J. P. Leidig",36911,1,0,189
"S. Dharmapuri",30041,1375,0,189
"Lingyun Yu",24165,0,0,192
"Efstathiou, K.",22653,13,0,192
"Isenberg, P.",17455,7851,0,34
"Isenberg, T.",21131,956,0,34
"Oeltze-Jafra, S.",28376,0,0,197
"Cebral, J.R.",27526,0,0,197
"Janiga, G.",27526,0,0,197
"Preim, B.",23571,4223,0,197
"N. Abedzadeh",46275,0,0,327
"I. Wald",26522,0,0,9
"A. Knoll",22507,19,0,9
"G. P. Johnson",22507,1,0,9
"W. Usher",22507,0,0,9
"V. Pascucci",22507,0,0,9
"M. E. Papka",22507,0,0,9
"Kindlmann, G.",21492,4400,0,34
"Chiw, C.",28029,11,0,34
"Seltzer, N.",28029,1,0,34
"Samuels, L.",28029,0,0,34
"Reppy, J.",28029,0,0,34
"Dutta, S.",25817,0,0,183
"Lihua Hao",30507,2,0,9
"Healey, C.G.",30507,1,0,9
"Bass, S.A.",30507,0,0,9
"Butkiewicz, T.",44823,1,0,215
"Stevens, A.H.",37953,1375,0,215
"V. Matvienko",30679,1,0,34
"J. Krger",24468,65,0,34
"Hanqi Guo",31507,0,0,220
"Phillips, C.L.",29978,22,0,220
"Peterka, T.",24664,6425,0,220
"Karpeyev, D.",29978,0,0,220
"Glatz, A.",29978,0,0,220
"V. Zobel",39111,0,0,224
"M. Stommel",32245,1374,0,224
"G. Scheuermann",32245,1,0,224
"Kurzhals, K.",20463,692,0,34
"Hlawatsch, M.",23762,0,0,34
"Heimerl, F.",21949,57,0,34
"Burch, M.",21272,120,0,34
"Ertl, T.",20463,1,0,34
"Weiskopf, D.",19350,2583,0,34
"Changgong Zhang",24192,0,0,76
"Lawonn, K.",23329,0,0,76
"J. Zhang",36679,0,0,150
"Woodring, J.",36888,0,0,236
"Petersen, M.",30053,1377,0,236
"Schmeisser, A.",30053,1,0,236
"Patchett, J.",30053,0,0,236
"Ahrens, J.",30053,0,0,236
"Hagen, H.",30053,0,0,236
"Sakurai, D.",34105,0,0,242
"Saeki, O.",27273,1368,0,242
"Carr, H.",27273,1,0,242
"Hsiang-Yun Wu",27273,0,0,242
"Yamamoto, T.",27273,0,0,242
"Duke, D.",27273,0,0,242
"Takahashi, S.",27273,0,0,242
"Gyulassy, A.",34318,3,0,34
"Knoll, A.",34318,1,0,34
"Chun Lau",34318,0,0,34
"Bei Wang",34318,0,0,34
"Jonsson, D.",21945,0,0,34
"Falk, M.",19212,10,0,34
"Ynnerman, A.",19212,0,0,34
"Athawale, T.",36787,0,0,256
"Sakhaee, E.",29921,1374,0,256
"Entezari, A.",29921,1,0,256
"Yi Gu",31514,0,0,220
"Chaoli Wang",27485,0,0,220
"Jacob, R.",27485,0,0,220
"Seung Hyun Kim",27485,0,0,220
"Zhongjie Wang",27778,0,0,263
"Seidel, H.-P.",20900,1497,0,34
"Weinkauf, T.",20900,1,0,34
"M. I. Jubair",34657,0,0,266
"U. Alim",27819,1369,0,266
"N. Roeber",27819,1,0,266
"J. Clyne",27819,0,0,266
"A. Mahdavi-Amiri",27819,0,0,266
"F. Samavati",27819,0,0,266
"Al-Awami, A.K.",20839,0,0,31
"Beyer, J.",18726,0,0,34
"Haehn, D.",20839,0,0,31
"Kasthuri, N.",18726,0,0,34
"Lichtman, J.W.",18726,0,0,34
"Hadwiger, M.",18726,0,0,34
"Glaßer, S.",25093,0,0,76
"A. Bock",31100,3,0,282
"M. Marcinkowski",34547,0,0,282
"J. Kilby",34547,0,0,282
"C. Emmart",32989,0,0,282
"A. Ynnerman",27690,5150,0,282
"O. H. Nagoor",34318,0,0,284
"M. Hadwiger",27452,1374,0,284
"M. Srinivasan",27452,1,0,284
"Marino, J.",19454,67,0,34
"Kaufman, A.",19454,0,0,34
"Skanberg, R.",27652,3,0,34
"Vazquez, P.-P.",27652,1,0,34
"Guallar, V.",27652,0,0,34
"Ropinski, T.",27652,0,0,34
"C. S. Z. Berge",27881,4,0,34
"D. Declara",27881,1,0,34
"C. Hennersperger",27881,0,0,34
"M. Baust",27881,0,0,34
"N. Navab",27881,0,0,34
"Kappe, C.P.",34698,0,0,298
"Schutz, L.",27870,1803,0,34
"Gunther, S.",27870,1,0,34
"Hufnagel, L.",27870,0,0,34
"Lemke, S.",27870,0,0,34
"Leitte, H.",27870,0,0,34
"Gunther, T.",29719,1,0,9
"Schulze, M.",29719,0,0,9
"Ferstl, F.",34656,0,0,307
"Bürger, K.",32621,134,0,307
"Westermann, R.",27790,4438,0,307
"Wenchao Wu",19552,0,0,9
"Jiayi Xu",19552,0,0,9
"Haipeng Zeng",19552,0,0,9
"Yixian Zheng",19552,0,0,9
"Bing Ni",19552,0,0,9
"Mingxuan Yuan",19552,0,0,9
"Ni, L.M.",19552,0,0,9
"J. Poco",34479,0,0,316
"H. Doraiswamy",27633,1370,0,316
"M. Talbert",27633,1,0,316
"J. Morisette",27633,0,0,316
"C. T. Silva",27633,0,0,316
"A. Pembroke",31202,0,0,282
"M. L. Mays",31202,0,0,282
"L. Rastaetter",31202,0,0,282
"T. Ropinski",31202,0,0,282
"Chun-Ming Chen",30725,0,0,183
"Heinlein, G.",27399,0,0,183
"Jen-Ping Chen",27399,0,0,183
"Schroeder, D.",23562,1476,0,9
"Keefe, D.F.",23562,1,0,9
"C. Ware",44667,1,0,330
"A. H. Stevens",37797,1375,0,330
"M. Goldau",38558,0,0,332
"A. Reichenbach",31692,1374,0,332
"M. Hlawitschka",31692,1,0,332
"Abbasloo, A.",25719,0,0,34
"Wiens, V.",22888,0,0,34
"Hua Guo",18254,0,0,34
"Gomez, S.R.",18254,0,0,34
"Laidlaw, D.H.",16695,5860,0,34
"Cook, K.A.",28361,2,0,34
"Scholtz, J.",28361,1,0,34
"Whiting, M.A.",28361,0,0,34
"Itoh, M.",34527,3,0,34
"Yokoyama, D.",34527,1,0,34
"Toyoda, M.",34527,0,0,34
"Kitsuregawa, M.",34527,0,0,34
"Mengchen Liu",27749,5,0,347
"Shixia Liu",24201,6916,0,34
"Xizhou Zhu",27749,0,0,34
"Qinying Liao",27749,0,0,34
"Furu Wei",27749,0,0,34
"Shimei Pan",27749,0,0,34
"Maoyuan Sun",25638,3,0,9
"Peng Mi",25638,1,0,9
"North, C.",21931,74,0,9
"Ramakrishnan, N.",25638,0,0,9
"Ragan, E.D.",19363,24,0,9
"Endert, A.",16549,12660,0,9
"Sanyal, J.",19363,0,0,9
"Jian Chen",17784,2934,0,9
"Qi Han",23458,0,0,34
"Koch, S.",18750,12623,0,34
"North, S.",21082,0,0,34
"Urbanek, S.",19095,0,0,34
"Woodhull, G.",19095,0,0,34
"Jarema, M.",34646,0,0,307
"Demir, I.",34646,0,0,307
"Kehrer, J.",30502,0,0,307
"Wenwen Dou",24501,0,0,371
"Cho, I.",22113,166,0,34
"ElTayeby, O.",23083,0,0,371
"Jaegul Choo",18349,6578,0,34
"Xiaoyu Wang",23083,0,0,34
"Ribarsky, W.",22113,1,0,34
"Qingsong Liu",30260,0,0,34
"Yifan Hu",24020,145,0,34
"Lei Shi",24020,1,0,34
"Xinzhu Mu",24020,0,0,34
"Yutao Zhang",24020,0,0,34
"Jie Tang",24020,0,0,34
"Yanhong Wu",20250,0,0,9
"Pitipornvivat, N.",19532,0,0,9
"Jian Zhao",19532,0,0,9
"Guowei Huang",19532,0,0,9
"Solteszova, V.",34177,0,0,385
"Foscato, M.",27319,1373,0,385
"Eliasson, S.H.",27319,1,0,385
"Jensen, V.R.",27319,0,0,385
"Yafeng Lu",28785,8,0,9
"Steptoe, M.",28785,1,0,9
"Burke, S.",28785,0,0,9
"Hong Wang",28785,0,0,9
"Jiun-Yi Tsai",28785,0,0,9
"Davulcu, H.",28785,0,0,9
"Montgomery, D.",28785,0,0,9
"Corman, S.R.",28785,0,0,9
"Maciejewski, R.",28785,0,0,9
"Brooks, M.",27649,0,0,400
"Amershi, S.",25703,23,0,400
"Bongshin Lee",25703,1,0,400
"Drucker, S.M.",20807,5630,0,34
"Kapoor, A.",25703,0,0,400
"Simard, P.",25703,0,0,400
"Haeyong Chung",24620,0,0,9
"Joshi, S.",23233,0,0,9
"Quan Li",19564,0,0,9
"Peng Xu",19564,0,0,9
"Haoling Dong",34216,0,0,408
"Siliang Tang",27368,1370,0,408
"Si Li",27368,1,0,408
"Fei Wu",27368,0,0,408
"Yueting Zhuang",27368,0,0,408
"Bryan, C.",36893,0,0,413
"Xue Wu",30035,1373,0,413
"Mniszewski, S.",30035,1,0,413
"Kwan-Liu Ma",30035,0,0,413
"Lujan Ganuza, M.",29481,0,0,422
"Gargiulo, F.",28097,6,0,422
"Ferracutti, G.",28097,1,0,422
"Castro, S.",28097,0,0,422
"Bjerg, E.",28097,0,0,422
"Groller, E.",28097,0,0,422
"Matkovic, K.",22647,8755,0,422
"Siming Chen",22548,267,0,424
"Xiaoru Yuan",19926,18217,0,34
"Zhenhuang Wang",24808,0,0,34
"Cong Guo",24808,0,0,34
"Jie Liang",22565,0,0,34
"Zuchao Wang",23332,0,0,34
"Xiaolong Zhang",24808,0,0,34
"Jiawan Zhang",24808,0,0,34
"Jänicke, S.",29432,0,0,34
"Focht, J.",25162,8,0,34
"Scheuermann, G.",25162,1,0,34
"Splechtna, R.",28012,0,0,422
"Gracanin, D.",23837,0,0,422
"Jelovic, M.",23837,0,0,422
"Hauser, H.",21694,2364,0,34
"Hannah Kim",21110,0,0,9
"Haesun Park",21110,0,0,9
"Yu Liang",34459,0,0,441
"Wei Wu",28018,512,0,441
"Xiaohui Li",28018,1,0,441
"Guangxia Li",28018,0,0,441
"Wee Siong Ng",28018,0,0,441
"See-Kiong Ng",28018,0,0,441
"Zhongwen Huang",28018,0,0,441
"Arunan, A.",28018,0,0,441
"Hui Min Watt",28018,0,0,441
"Sorger, J.",29152,5,0,34
"Ortner, T.",29152,1,0,34
"Luksch, C.",29152,0,0,34
"Schwärzler, M.",29152,0,0,34
"Gröller, E.",29152,0,0,34
"Piringer, H.",29152,0,0,34
"Cook, K.",22708,0,0,9
"Cramer, N.",21318,0,0,9
"Israel, D.",21318,0,0,9
"Wolverton, M.",21318,0,0,9
"Bruce, J.",21318,0,0,9
"Burtner, R.",21318,0,0,9
"von Landesberger, T.",26397,0,0,34
"Brodkorb, F.",22552,375,0,34
"Roskosch, P.",22552,1,0,34
"Andrienko, N.",22552,0,0,34
"Andrienko, G.",22552,0,0,34
"Kerren, A.",22552,0,0,34
"Sujin Jang",19074,0,0,34
"Ramani, K.",18379,0,0,34
"Glueck, M.",25857,5,0,471
"Hamilton, P.",25857,1,0,471
"Chevalier, F.",23210,624,0,471
"Breslav, S.",25857,0,0,471
"Khan, A.",25857,0,0,471
"Wigdor, D.",25857,0,0,471
"Brudno, M.",25857,0,0,471
"van den Elzen, S.",21566,1,0,34
"Holten, D.",22918,0,0,34
"Blaas, J.",22918,0,0,34
"Nguyen, P.H.",28312,5,0,9
"Kai Xu",28312,1,0,9
"Wheat, A.",28312,0,0,9
"Wong, B.L.W.",28312,0,0,9
"Attfield, S.",28312,0,0,9
"Fields, B.",28312,0,0,9
"Richter, C.",29168,0,0,486
"Luboschik, M.",22303,1418,0,34
"Rohlig, M.",24183,3,0,34
"Schumann, H.",22303,1,0,34
"Shenghui Cheng",30479,826,0,493
"Yue Wang",33943,0,0,493
"Dan Zhang",33943,0,0,493
"Zhifang Jiang",33943,0,0,493
"Mueller, K.",28459,5468,0,493
"Kruger, F.",22495,0,0,34
"Kirste, T.",22495,0,0,34
"Bogl, M.",21449,0,0,34
"Krause, J.",26830,2,0,34
"Perer, A.",26830,1,0,34
"Stavropoulos, H.",26830,0,0,34
"Nan Cao",23057,0,0,34
"Lin, S.",23057,0,0,34
"Jie Lu",23057,0,0,34
"Yu-Ru Lin",23057,0,0,34
"Ching-Yung Lin",23057,0,0,34
"Alexander, E.",27945,1,0,506
"Gleicher, M.",21075,1408,0,34
"Reda, K.",34815,0,0,508
"Gonzalez, A.",27961,1371,0,508
"Leigh, J.",27961,1,0,508
"Papka, M.E.",27961,0,0,508
"Jäckle, D.",26492,0,0,34
"Fischer, F.",21517,850,0,34
"Keim, D.A.",21990,574,0,34
"Sacha, D.",22964,0,0,34
"Senaratne, H.",22964,0,0,34
"Ellis, G.",22964,0,0,34
"Jun Wang",35341,0,0,493
"Fulda, J.",23296,0,0,65
"Polack, P.J.",28077,3,0,523
"Shang-Tse Chen",28077,1,0,523
"Minsuk Kahng",28077,0,0,523
"Sharmin, M.",28077,0,0,523
"Duen Horng Chau",22666,4440,0,523
"Peter, J.",30873,0,0,34
"Szigeti, S.",24698,3,0,34
"Jofre, A.",24698,1,0,34
"Diamond, S.",24698,0,0,34
"Xiaoke Huang",28940,3,0,529
"Ye Zhao",24843,3180,0,529
"Jing Yang",24843,1,0,529
"Chong Zhang",28940,0,0,529
"Chao Ma",28940,0,0,529
"Xinyue Ye",28940,0,0,529
"Yi-Chih Tsai",34482,0,0,535
"Liang-Chi Hsieh",27644,1369,0,535
"Wen-Feng Cheng",27644,1,0,535
"Yin-Hsi Kuo",27644,0,0,535
"Hsu, W.",27644,0,0,535
"Wen-Chin Chen",27644,0,0,535
"di Sciascio, C.",41740,0,0,541
"Sabol, V.",34874,1374,0,541
"Veas, E.",34874,1,0,541
"Ferreira, N.",33759,0,0,544
"Lage, M.",26941,1365,0,544
"Doraiswamy, H.",26941,1,0,544
"Huy Vo",26941,0,0,544
"Wilson, L.",26941,0,0,544
"Werner, H.",26941,0,0,544
"Park, M.",26941,0,0,544
"Silva, C.",26941,0,0,544
"Perkins, M.",34992,1,0,552
"Yanlai Chen",28126,1373,0,552
"Blascheck, T.",24881,0,0,34
"John, M.",22617,0,0,34
"Wewnen Dou",25388,0,0,34
"Wang, D.X.",25388,0,0,34
"Sauda, E.",25388,0,0,34
"Papadopoulos, C.",18367,0,0,9
"Gutenko, I.",17288,1218,0,9
"Kaufman, A.E.",17288,0,0,9
"Jina Huh",21398,0,0,34
"Beck, F.",24204,0,0,34
"Min Lu",26792,0,0,34
"Chufan Lai",25414,0,0,34
"Ye Tangzhi",22643,0,0,34
"Löwe, T.",33318,0,0,567
"Förster, E.-C.",26483,1360,0,34
"Albuquerque, G.",26483,1,0,34
"Kreiss, J.-P.",26483,0,0,34
"Magnor, M.",26483,0,0,34
"Leite, R.A.",24917,0,0,34
"Gstrein, E.",23481,0,0,34
